platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100
kakao,각시보쌈,reviewer_000011,17,2026-02-22,,,고기 맛있긴 한데 먼가 보쌈으로서 싸먹엇을때 느겨지는 감칠맛? 이 부족한 느낌;; 나만그럴수도..,54,0,3,4.6,실버 레벨,6.5,1,high,1.0,3.0,has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | short_but_specific_food_review:+0.5,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000012,18,2026-02-22,,,여기보다 맛있는 보쌈이 존재할까,17,1,5,3.2,실버 레벨,-6.2,0,low,0.2,1.0,short_low_specificity:-1.5 | short_generic_review:-2 | no_number_detail_with_praise:-1 | menu_without_experience_detail:-1.0 | has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2 | kakao_5star_short_low_specificity:-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000013,5,2026-01-26,,,아니 무슨 80년대도아니고 혼자손님이 와도 자기가 앉고싶은자릴 앉는거지 이래라저래라 저기앉아라이러고 통제를 합니까 무슨 공산주의에요????밥먹으러왔다가 기분잡쳐서가네요 먹는 내내 중국종업원들 먹는거 구경하면서 낄낄대고 다음에 가서그러면 가만히 않있습니다 두고보세요,147,0,1,2.0,브론즈 레벨,4.6,0,high,1.0,1.0,account_review_count_under_5:-0.5 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | multi_sentence_with_length:+0.8 | has_number_detail:+1,0,0,3,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
kakao,각시보쌈,reviewer_000014,135,2026-01-24,,,확신의 맛집 무조건 반반보쌈으로 ㄱㄱ 단 시끄러운거 싫어하면 절대 평일 저녁엔 가지마세요 할저씨들 술시켜놓고 고성방가 심함..,70,0,5,3.8,골드 레벨,12.0,1,high,1.0,5.0,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0,1,0,2,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000015,87,2026-01-10,,,"약간 느끼할 순 있어도, 충분히 꽉차는 보쌈의 맛있음이 존재한다.",36,0,5,3.5,골드 레벨,1.7,0,ambiguous,0.5,2.5,menu_without_experience_detail:-1.0 | has_menu:+0.3 | has_detailed_negative:+1.5 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | account_review_count_over_50:+0.7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
kakao,각시보쌈,reviewer_000016,16,2026-01-03,,,맛있는데 너무 불친절함 정식먹었는데 찌개추가라고했는데 리필안됀다고 눈치주고 화내심 ;; 빨리먹으란식의 눈치주시고 두번다시올일없슴다,72,0,1,3.1,실버 레벨,14.4,1,high,1.0,1.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5,2,4,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000017,134,2025-12-14,,,여자3인 배추보쌈 중짜 떵개 완. 야들… 촉촉 밑반찬도 다 맛있고 공기밥시키면 김치찌개 나오는게 좋았당,57,0,5,4.3,골드 레벨,11.8,1,high,1.0,5.0,has_menu:+0.3 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_not_rich:+0 | short_but_specific_food_review:+0.5 | account_review_count_over_100:+1.0,2,0,6,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000018,90,2025-12-13,,,"인기 어어어어엄청 많은 보쌈집! 저녁 5시 반 전에 도착했는데 6시반에 입장했어요ㅎㅎ 연말이라 술 드시는 손님도 많고 해서ㅠㅠ 굴보쌈 먹었는데 진짜 굵직굵직 싱싱한 굴에 보쌈 곁들여 먹으니 개존맛탱,, 이 날 낮에 이미 너무 많이 먹고 가서 좀 남겼는데, 나중에 배고플 때 가서 왕왕 먹고 막걸리도 왕창 마시고 싶어요ㅎㅎ 웨이팅 자리가 아주 협소하니 주의하셔야 합니다..",207,0,4,4.4,골드 레벨,19.1,1,high,1.0,4.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | strong_quality_detail:+0.5 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7,1,6,4,3,2,0,2,0,4,2,0,1,7,1,0,2,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0
kakao,각시보쌈,reviewer_000019,232,2025-12-12,,,평일 18시30분 도착 웨이팅 30분함 홍어삼합 대 +고기추가+굴추가+메밀면 대 5명에서 먹었는데 11만원대 나옴 가성비 굿 고기 not bad 굴 좀 비싸지만 알이 큼 홍어 fuxking 국수 soso 가성비 개굿,120,0,3,2.8,골드 레벨,16.299999999999997,1,high,1.0,3.0,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0,2,3,4,2,4,0,2,0,0,0,0,1,2,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000020,35,2025-12-05,,,2시40분까지 라스트오더라고 늦을까봐.미리 주문하려고 전화했더니 인수 물어보더니 잠시만요 하고 갑자기 재료소진이라함 에바,67,1,1,4.9,실버 레벨,8.3,1,high,1.0,1.0,experience_context:+1.0 | has_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | photo_without_enough_detail:-0.2,0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000021,174,2025-12-03,,,주말에 남편이랑 낮술하러 들른 각시보쌈 합정점이에요 합정역 7번 출구에서 가까워서 접근성도 좋고 항상 손님이 많아서 웨이팅은 기본인데 그래도 기다릴 가치 충분한 곳이에요 😊 저희는 점심에만 주문 가능한 보쌈정식을 먹었는데 보쌈 고기부터 감탄 나왔어요 잡내 없이 부드럽고 촉촉하게 삶아져서 한 점 씹을 때마다 고기결이 살아있고 무생채랑 같이 먹으면 조합이 정말 최고였어요 밑반찬도 깔끔하고 특히 김치찌개가 진짜 맛있어서 보쌈 먹다가 뜨끈한 국물 한입 먹으면 바로 소주 불러오는 맛이에요 🍶 손님이 많아도 이모님들이 너무 베테랑이라 주문도 빠르고 음식도 꼬이지 않아서 편하게 식사할 수 있었어요 합정에서 보쌈 드시고 싶으신 분들께 자신 있게 추천드려요 👍,364,1,5,4.3,골드 레벨,18.9,1,high,1.0,5.0,experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | strong_quality_detail:+0.5 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,3,6,13,4,1,0,2,0,2,2,4,1,9,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000022,1,2025-11-29,,,어른들 모시고가도 좋아하실듯,15,0,5,5.0,브론즈 레벨,-11.5,0,low,0.2,1.0,short_low_specificity:-1.5 | generic_without_detail:-3 | short_generic_review:-2 | low_information_review:-2 | no_number_detail_with_praise:-1 | account_review_count_is_1:-1.0 | kakao_5star_short_low_specificity:-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
kakao,각시보쌈,reviewer_000023,169,2025-11-21,,,가성비뒤짐 찌개는 별로 1인식사 가넝,20,1,4,3.6,골드 레벨,0.8,0,ambiguous,0.5,2.0,generic_negative_weak_detail:-0.5 | has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000024,103,2025-11-16,,,너무맛있게 먹었어요. 공기밥 시키면 참치김치찌개 주시는데 그것도 맛있었어요. 대기가 있지만 금방 빠져서 기다렸다 먹을만하고 다른테이블은 정식을 많이 드시던데 가성비 좋아 보였어요.,100,0,5,4.1,골드 레벨,13.799999999999997,1,high,1.0,5.0,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0,3,3,4,1,0,0,2,0,1,0,0,2,1,0,0,3,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000025,384,2025-11-16,,,웨이팅 있지만 회전율 빨라서 금방 들어감 고기 맛있어요 평냉집 서령에 나오는 항정살이랑 비슷힌 느낌인데 가성비갑,62,1,5,4.0,골드 레벨,6.5,1,high,1.0,5.0,menu_without_experience_detail:-1.0 | popularity_only_without_detail:-1 | has_menu:+0.3 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,1,2,1,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000026,376,2025-11-11,,,"11시 오픈하자마자 바로 만석되어버리던데 ㄷㄷ 11:30에 갔는데 한 15분 정도 웨이팅하다 들어갔어. 홍어보쌈 먹었는데, 아니 너무 맛있던데? 홍어 잘 못 먹는 사람도 먹기 괜찮을 만한 삭힘의 홍어였고, 보쌈고기는 야들야들 좋았고, 쌈으로 나오는 배추가 말그대로 보쌈하기 좋은 상태로 나와서 잘 싸 먹었다. 손님은 정말정말 많더라, 또 가고시퍼",193,1,5,3.3,골드 레벨,16.999999999999996,1,high,1.0,5.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,2,3,4,1,2,0,1,0,1,0,0,1,3,1,0,4,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000027,6,2025-10-21,,,"평일도기다려야 불편함이 있지만 가격, 반찬가짓수 등등 만원의행복~ 합정갈일있을때마다 가는맛집!",52,1,5,3.3,브론즈 레벨,11.099999999999998,1,high,1.0,5.0,account_review_count_under_10:-0.2 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,1,2,1,1,0,0,2,0,0,0,0,0,2,0,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0
kakao,각시보쌈,reviewer_000028,1,2025-09-19,,,여기 맛은 있는데 위생이… 수저 설거지한거 정리하는데 바닥에 떨어진거(신발신고 다니는 바닥) 다시 걍 주워서 통에 넣음,66,0,1,1.0,브론즈 레벨,6.0,1,high,1.0,1.0,account_review_count_is_1:-1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_reason_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
kakao,각시보쌈,reviewer_000029,1,2025-09-18,,,여자 혼자 밥 천천히 먹으면 직원 분이 다가와 귓속말로 빨리 치우게 나가라고 합니다. 뭐라고 하신 거냐 물어보니 아무것도 아니라고 손사레 치십니다. 당당하게 하실 말씀이면 큰 소리로 외치시지 왜 조용히 귓속말로 하세요? 매니저분께서 정중히 사과해 주시고 시정하시겠다 했지만 재방문 의사 없습니다. 이런 일이 몇 번 있었다고 하셨고 그래서 직원들에게 하지 말라고 말하셨다는데 그럼 저한테도 그러셨으면 안 되죠,227,1,1,1.0,브론즈 레벨,7.099999999999999,1,high,1.0,1.0,account_review_count_is_1:-1.0 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_photo_with_detail:+0.2,0,2,4,3,0,0,0,0,0,0,0,0,3,1,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
